"","File Name","Time (s) @ BFC","Back Knee Flexion @ BFC","Back Knee Extension Velocity @ BFC","COM (X) @ BFC","COM (Z) @ BFC","COM Velocity (X) @ BFC","COM Velocity (Z) @ BFC","Pelvis Rotation (Y) @ BFC","Trunk Rotation (Y) @ BFC","Trunk Flexion @ BFC","Shoulder Abduction @ BFC","Shoulder H Abduction @ BFC","Elbow Flexion @ BFC","Time (s) @ FFC","Stride Length (X) @ FFC","Stride Angle @ FFC","Back Knee Extension Velocity @ FFC","Front Knee Flexion @ FFC","Pelvis Rotation (Y) @ FFC","Trunk Rotation (Y) @ FFC","Trunk Flexion @ FFC","Shoulder Abduction @ FFC","Shoulder H Abduction @ FFC","Elbow Flexion @ FFC","COM (X) @ FFC","COM (Z) @ FFC","COM Velocity (X) @ FFC","COM Velocity (Z) @ FFC","Time (s) @ MAW","Front Knee Flexion @ MAW","Pelvis Rotation (Y) @ MAW","Trunk Rotation (Y) @ MAW","Shoulder Abduction @ MAW","Shoulder H Abduction @ MAW","Elbow Flexion @ MAW","Time (s) @ BR","Height @ BR","Front Knee Flexion @ BR","Front Knee Extension Velocity @ BR","Pelvis Rotation (Y) @ BR","Trunk Flexion @ BR","Trunk Rotation (Y) @ BR","Lateral Trunk Flexion @ BR","Shoulder Abduction @ BR","Shoulder H Abduction @ BR","Elbow Flexion @ BR","COM (X) @ BR","COM (Z) @ BR","COM Velocity (X) @ BR","COM Velocity (Z) @ BR","Hand COM (X) @ BR","Hand COM (Z) @ BR","Front Knee Extension Velocity (max)","Pelvis Rotation Velocity (max)","Trunk Rotation Velocity (max)","Trunk Flexion Velocity (max)","Trunk Flexion (max)","Shoulder Rotation Velocity (max)","Elbow Flexion (max)","Shoulder Rotation (max)","Elbow Extension Velocity (max)","Forearm Pronation (max)","COM Displacement (X) - stride","COM Displacement (X) - action","COM Displacement (X) - total","COM Displacement (Z) - stride","COM Displacement (Z) - action","COM Displacement (Z) - total","Δ COM Velocity (X) - stride","Δ COM Velocity (X) - action","Δ COM Velocity (X) - total","Δ COM Velocity (Z) - stride","Δ COM Velocity (Z) - action","Δ COM Velocity (Z) - total","Stretch (%height)","Span (%height)","Follow-Through (ms)"
"26","KOT002rz_throw20_rap20 - KOT_RH (6Hz)",0.51,-64.186588,99.253106,NA,NA,NA,NA,-50.120117,NA,NA,NA,NA,NA,1.01,0.627365,-1.23781,191.137077,-46.142175,-77.213522,-54.193233,9.471054,91.883192,-41.026532,98.973464,-0.506996,-0.265365,2.551604,-0.223253,0.99,-42.631933,-77.821873,-51.5272,93.197996,-29.917668,88.388807,1.2,1.82,-61.582885,50.632109,-11.705682,-30.610514,3.354551,-13.767709,91.828383,-8.686261,86.843153,-0.0989,-0.355893,1.740249,-0.507717,0.219287,0.228226,324.099017,500.939305,687.687317,162.595034,14.895951,3920.985272,122.340627,-131.38641,-1105.657597,-6.468731,NA,0.408096,NA,NA,-0.090528,NA,NA,-0.811355,NA,NA,-0.284464,NA,0.174828021978022,0.320944505494506,0.28
"27","KOT002rz_throw3_rap3 - KOT_RH (6Hz)",0.54,-43.15274,79.838668,-1.297091,-0.207636,1.943786,-0.152147,-40.612463,-51.327698,-16.02492,2.061651,53.861463,118.203622,1,0.602975,10.545219,178.921545,-41.482305,-77.778154,-58.413653,11.754915,89.799901,-21.548748,86.492935,-0.441476,-0.235855,2.359151,-0.04497,1.01,-44.342095,-77.420173,-59.568442,89.13098,-25.442745,93.652906,1.2,1.82,-62.036317,66.764204,-7.182335,-27.814696,-0.231096,-17.497468,94.505421,13.028817,66.802789,-0.022916,-0.297955,1.563574,-0.467936,0.190852,0.244787,357.227858,524.475635,732.456946,163.091864,16.232968,3841.587426,121.358933,-131.854683,-2761.875199,-269.120985,0.855615,0.41856,1.274175,-0.028219,-0.0621,-0.090319,0.415365,-0.795577,-0.380212,0.107177,-0.422966,-0.315789,0.117454945054945,0.29820989010989,0.29
"28","KOT002rz_throw4_rap4 - KOT_RH (6Hz)",0.55,-46.521823,42.616799,-1.323438,-0.198791,1.916124,-0.165303,-43.963393,-52.66802,-13.958527,3.442028,48.969223,114.713377,1.01,0.592452,3.642543,75.044621,-50.311007,-69.665881,-67.168089,-0.423995,88.441698,-44.046563,122.20839,-0.374619,-0.230754,2.538712,-0.118604,0.97,-40.558287,-75.115342,-58.035457,93.348105,-27.257651,100.876676,1.17,1.82,-59.201417,58.237006,-1.315492,-29.746584,0.998735,-19.872577,90.152045,11.221779,37.296626,-0.057443,-0.292227,1.432444,-0.329743,0.190624,0.311004,338.366001,544.075831,735.730643,129.883599,9.440998,4074.43384,126.950888,-179.801891,-9745.269067,-266.816848,0.948819,0.317176,1.265995,-0.031963,-0.061473,-0.093436,0.622588,-1.106268,-0.48368,0.046699,-0.211139,-0.16444,0.136300549450549,0.331445604395604,0.3
"29","KOT002rz_throw5_rap5 - KOT_RH (6Hz)",0.58,-51.324207,67.517846,-1.346482,-0.186064,1.530145,-0.310603,-43.245864,-47.647851,-17.455227,5.312791,56.289977,117.522588,1.01,0.588866,1.841372,122.675388,-42.916288,-75.683471,-61.481468,5.436219,98.358321,-38.519394,116.650315,-0.444245,-0.211678,2.491615,-0.147293,0.99,-38.160791,-76.183963,-58.308119,99.751515,-27.935738,108.719982,1.2,1.82,-57.215183,62.906715,-5.656726,-30.651859,2.623107,-17.193335,93.808555,26.987489,72.705932,-0.052607,-0.28721,1.631775,-0.434917,0.29994,0.250496,367.174723,540.733324,734.119237,156.176524,9.923664,4079.436126,158.146088,-144.461786,-1080.308104,-34.439007,0.902237,0.391638,1.293875,-0.025614,-0.075532,-0.101146,0.96147,-0.85984,0.10163,0.16331,-0.287624,-0.124314,0.193707142857143,0.295442857142857,0.28
"30","KOT002rz_throw7_rap7 - KOT_RH (6Hz)",0.56,-47.58866,50.185016,-1.329201,-0.212821,1.747163,-0.207456,-48.868771,-53.603597,-14.138733,8.885109,56.479769,116.583964,1.01,0.594963,9.887228,169.664557,-44.295073,-73.000029,-57.015992,4.900306,93.339086,-36.426879,107.250152,-0.439789,-0.23575,2.436125,-0.108208,1,-41.805355,-74.040553,-55.209991,94.336594,-32.5362,102.663393,1.21,1.82,-56.019168,85.306526,2.178399,-30.607347,4.938575,-20.864453,91.163837,22.865598,60.465621,-0.041226,-0.306416,1.481123,-0.38128,0.360477,0.252313,379.089711,554.830367,723.604634,185.739664,8.789519,4175.505028,122.81379,-143.221717,-1248.577947,-257.293864,0.889412,0.398563,1.287975,-0.022929,-0.070666,-0.093595,0.688962,-0.955002,-0.26604,0.099248,-0.273072,-0.173824,0.220715934065934,0.306993956043956,0.28
"31","KOT002rz_throw8_rap8 - KOT_RH (6Hz)",0.44,-62.511998,269.140656,NA,NA,NA,NA,-31.594226,NA,NA,NA,NA,NA,1.01,0.622962,6.031875,63.396899,-47.565238,-75.496121,-62.698511,5.251788,89.214792,-52.668984,118.542557,-0.431151,-0.265563,2.497862,-0.096301,0.96,-38.926739,-78.44213,-52.774786,96.927262,-29.170545,101.552861,1.16,1.82,-60.48579,19.073114,-15.713758,-31.409279,-9.535674,-15.347329,94.50928,3.644038,98.208934,-0.128222,-0.318578,1.505944,-0.426285,-0.033731,0.224497,354.182007,500.221931,653.666812,112.884173,19.141539,5463.546675,122.200205,-160.637816,-2910.723205,-261.519755,NA,0.302929,NA,NA,-0.053015,NA,NA,-0.991918,NA,NA,-0.329984,NA,0.0519181318681319,0.298392857142857,0.31
"32","KOT002rz_throw9_rap9 - KOT_RH (6Hz)",0.58,-51.072827,39.537752,-1.372053,-0.209648,1.365043,-0.272478,-62.59268,-60.758872,-5.710026,19.888014,36.963209,108.524724,1.01,0.604206,3.074564,208.362534,-42.278803,-78.584092,-55.238663,7.999425,97.337633,-37.485057,105.293585,-0.559402,-0.240879,2.343335,-0.20324,1,-40.011077,-77.951581,-53.900364,98.417792,-32.393645,100.980967,1.2,1.82,-60.4142,54.546752,-10.246312,-31.161979,1.816524,-13.217374,93.335641,0.40854,69.616631,-0.168705,-0.311371,1.552149,-0.381216,0.047055,0.244817,323.07786,553.920857,711.748044,163.237979,13.149273,4500.724587,122.935859,-136.145892,-2400.123821,-263.8386,0.812651,0.390697,1.203348,-0.031231,-0.070492,-0.101723,0.978292,-0.791186,0.187106,0.069238,-0.177976,-0.108738,0.118549450549451,0.305597802197802,0.3
"33","KOT005jg_throw1_rap1 - KOT_LH (6Hz)",0.59,-64.685244,39.503175,-1.358735,0.297371,1.72841,-0.048196,-50.610688,57.378016,31.848877,59.131112,17.070406,112.971653,1.01,0.695673,10.357952,-209.2065,-47.217452,-82.414242,72.259308,21.325965,105.678947,-37.027146,111.633575,-0.594266,0.325967,2.541025,0.033029,1,-45.036632,-82.817201,72.081169,108.287349,-37.302549,112.483476,1.19,1.84,-59.726654,129.985636,-14.708473,-24.920886,-0.941876,-16.358187,115.984416,14.790352,64.601219,-0.213454,0.322478,1.355487,0.156333,0.176985,0.2432,258.574282,485.870206,563.154149,162.708347,38.110849,3079.856075,178.631813,-152.872043,-1527.562408,-140.741452,0.764469,0.380812,1.145281,0.028596,-0.00348900000000002,0.025107,0.812615,-1.185538,-0.372923,0.081225,0.123304,0.204529,0.212195108695652,-0.0430858695652174,0.29
"34","KOT005jg_throw11_rap11 - KOT_LH (6Hz)",0.58,-59.612968,2.090587,-1.277672,0.325081,1.310605,-0.090299,-42.525278,58.115135,21.300087,33.176864,5.559094,111.149514,1.01,0.680695,14.591361,-202.871156,-56.456089,-83.92421,70.324986,14.398735,93.408331,-34.689529,115.347836,-0.542227,0.353361,2.582597,0.005008,0.99,-51.986898,-81.418385,68.972253,100.251297,-34.500772,116.223933,1.17,1.84,-66.501167,76.972322,-16.009064,-20.057547,2.105729,-15.226247,101.715715,4.158604,85.0614,-0.203651,0.336847,1.456286,-0.08929,0.082491,0.219757,279.874424,535.378818,587.09599,197.723384,33.235188,4962.783067,120.216058,-138.659873,-1342.399778,-17.510208,0.735445,0.338576,1.074021,0.02828,-0.016514,0.011766,1.271992,-1.126311,0.145681,0.095307,-0.094298,0.00100900000000001,0.155511956521739,-0.0636358695652174,0.29
"35","KOT005jg_throw12_rap12 - KOT_LH (6Hz)",0.55,-62.708686,56.819899,-1.287627,0.344553,1.193378,0.025773,-44.361236,55.862029,24.721889,37.488607,6.792487,115.667071,1,0.639021,15.28746,-173.157383,-59.768206,-85.588933,74.636646,21.632641,103.741345,-42.225389,118.301209,-0.578463,0.362627,2.40989,0.058866,1,-59.768206,-85.588933,74.636646,103.741345,-42.225389,118.301209,1.17,1.84,-63.806598,84.632459,-12.746421,-20.685681,1.033902,-17.102103,102.77965,4.970993,92.017868,-0.240829,0.350022,1.281241,0.01311,0.014092,0.217599,319.436477,535.554339,584.64167,155.736978,38.29952,3723.429285,121.866473,-150.619605,-1492.416214,-80.013585,0.709164,0.337634,1.046798,0.018074,-0.012605,0.005469,1.216512,-1.128649,0.087863,0.033093,-0.045756,-0.012663,0.13854402173913,-0.0719690217391304,0.28
