"","File Name","Time (s) @ BFC","Back Knee Flexion @ BFC","Back Knee Extension Velocity @ BFC","COM (X) @ BFC","COM (Z) @ BFC","COM Velocity (X) @ BFC","COM Velocity (Z) @ BFC","Pelvis Rotation (Y) @ BFC","Trunk Rotation (Y) @ BFC","Trunk Flexion @ BFC","Shoulder Abduction @ BFC","Shoulder H Abduction @ BFC","Elbow Flexion @ BFC","Time (s) @ FFC","Stride Length (X) @ FFC","Stride Angle @ FFC","Back Knee Extension Velocity @ FFC","Front Knee Flexion @ FFC","Pelvis Rotation (Y) @ FFC","Trunk Rotation (Y) @ FFC","Trunk Flexion @ FFC","Shoulder Abduction @ FFC","Shoulder H Abduction @ FFC","Elbow Flexion @ FFC","COM (X) @ FFC","COM (Z) @ FFC","COM Velocity (X) @ FFC","COM Velocity (Z) @ FFC","Time (s) @ MAW","Front Knee Flexion @ MAW","Pelvis Rotation (Y) @ MAW","Trunk Rotation (Y) @ MAW","Shoulder Abduction @ MAW","Shoulder H Abduction @ MAW","Elbow Flexion @ MAW","Time (s) @ BR","Height @ BR","Front Knee Flexion @ BR","Front Knee Extension Velocity @ BR","Pelvis Rotation (Y) @ BR","Trunk Flexion @ BR","Trunk Rotation (Y) @ BR","Lateral Trunk Flexion @ BR","Shoulder Abduction @ BR","Shoulder H Abduction @ BR","Elbow Flexion @ BR","COM (X) @ BR","COM (Z) @ BR","COM Velocity (X) @ BR","COM Velocity (Z) @ BR","Hand COM (X) @ BR","Hand COM (Z) @ BR","Front Knee Extension Velocity (max)","Pelvis Rotation Velocity (max)","Trunk Rotation Velocity (max)","Trunk Flexion Velocity (max)","Trunk Flexion (max)","Shoulder Rotation Velocity (max)","Elbow Flexion (max)","Shoulder Rotation (max)","Elbow Extension Velocity (max)","Forearm Pronation (max)","COM Displacement (X) - stride","COM Displacement (X) - action","COM Displacement (X) - total","COM Displacement (Z) - stride","COM Displacement (Z) - action","COM Displacement (Z) - total","Δ COM Velocity (X) - stride","Δ COM Velocity (X) - action","Δ COM Velocity (X) - total","Δ COM Velocity (Z) - stride","Δ COM Velocity (Z) - action","Δ COM Velocity (Z) - total","Stretch (%height)","Span (%height)","Follow-Through (ms)"
"129","KOT011jf_throw1_rap1 - KOT_RH (6Hz)",0.94,-70.04661,200.962422,NA,NA,NA,NA,-76.428391,NA,NA,NA,NA,NA,1.27,0.609755,-2.815897,12.218038,-40.862433,-65.553604,-72.148276,4.307068,73.300184,-18.590955,90.183106,-0.571836,-0.302248,3.133114,-0.381868,1.21,-33.293759,-81.445398,-60.522376,73.066058,-11.611451,46.903334,1.43,1.99,-40.223051,248.776383,-5.560402,-44.159423,-6.704697,-33.8267,97.62616,51.707762,60.520344,-0.146843,-0.374429,2.102052,-0.384873,0.152632,-0.040885,307.266633,442.316303,677.724912,307.232218,18.524533,4915.483294,106.310345,-170.513121,-1453.196992,-266.750301,NA,0.424993,NA,NA,-0.072181,NA,NA,-1.031062,NA,NA,-0.00300500000000004,NA,0.150489949748744,0.167610050251256,0.23
"130","KOT011jf_throw10_rap10 - KOT_RH (6Hz)",0.97,-74.294233,187.161854,-1.207344,-0.264076,2.133713,-0.620595,-70.747722,-37.021198,25.179911,51.496247,50.692608,64.914399,1.25,0.631884,4.842972,37.932976,-41.723648,-65.136713,-63.27234,4.58082,74.911232,-23.876151,89.885073,-0.521192,-0.394656,2.832122,-0.326369,1.23,-40.195303,-71.805547,-60.846592,76.847638,-20.407705,78.68294,1.41,1.99,-32.768496,188.481921,-3.863776,-46.260145,-2.624693,-23.996967,106.188112,64.940291,103.588112,-0.152007,-0.465167,1.893747,-0.442354,0.223225,-0.018195,276.708742,461.710696,609.406209,274.848462,26.73692,3760.204674,106.507029,-177.401456,-4785.136801,-56.812412,0.686152,0.369185,1.055337,-0.13058,-0.070511,-0.201091,0.698409,-0.938375,-0.239966,0.294226,-0.115985,0.178241,0.188558793969849,0.224609045226131,0.22
"131","KOT011jf_throw11_rap11 - KOT_RH (6Hz)",0.68,-65.815718,85.220216,-1.401319,-0.187036,NA,NA,-83.145715,-47.110993,10.177804,54.802916,36.845583,59.813982,1.01,0.623035,0.553479,66.516833,-41.336748,-63.301059,-66.459701,4.330844,71.001204,-27.508693,82.326948,-0.686112,-0.297902,2.805141,-0.309269,1.02,-43.180403,-59.826643,-68.622374,71.21516,-28.476472,88.83706,1.18,1.99,-32.43447,293.77095,4.042184,-45.520874,-6.024969,-21.765593,102.247954,70.45253,85.746579,-0.297651,-0.366172,1.706717,-0.328387,0.019231,0.003365,300.090553,473.164718,610.287288,330.338308,13.967434,2770.234151,109.570476,-167.455917,-1928.701885,-44.828645,0.715207,0.388461,1.103668,-0.110866,-0.06827,-0.179136,NA,-1.098424,NA,NA,-0.019118,NA,0.159237185929648,0.185696984924623,0.22
"132","KOT011jf_throw12_rap12 - KOT_RH (6Hz)",0.96,-69.778973,177.986366,-1.288104,-0.21583,1.995148,-0.603578,-71.719401,-47.823176,18.051373,28.42349,60.290877,31.247287,1.3,0.61328,0.839761,-79.64531,-32.68171,-53.925794,-67.830294,-1.882501,83.258235,-24.539338,91.145687,-0.498577,-0.343898,2.783406,-0.359449,1.26,-30.566471,-66.544996,-68.611688,78.853356,-19.205143,82.424931,1.43,1.99,-33.205328,10.248374,-6.564029,-40.146512,-4.851585,-25.558407,98.580536,58.602427,95.114577,-0.189623,-0.392071,2.096226,-0.34636,0.017335,-0.027042,303.6222,429.016259,638.608372,324.19257,19.872438,3562.426801,108.022421,-169.925408,-3234.091354,-265.664533,0.789527,0.308954,1.098481,-0.128068,-0.048173,-0.176241,0.788258,-0.68718,0.101078,0.244129,0.013089,0.257218,0.103998994974874,0.183431658291457,0.26
"133","KOT011jf_throw13_rap13 - KOT_RH (6Hz)",0.98,-67.307241,143.512119,-1.231631,-0.172136,2.21943,-0.586098,-76.884578,-43.145824,15.395005,48.897623,43.592817,46.21999,1.24,0.626701,-5.887522,105.48246,-34.360334,-60.610911,-65.050607,6.394717,80.421054,-21.603739,86.966184,-0.578815,-0.285856,2.91125,-0.428503,1.25,-36.538431,-57.861108,-65.960041,80.954474,-22.346877,90.287742,1.41,1.99,-36.937823,206.313209,-5.270873,-44.37169,-1.700975,-25.687887,96.089159,76.87377,81.09939,-0.175269,-0.372826,1.841765,-0.299666,0.268824,-0.010871,318.130073,406.624733,631.570105,344.352228,17.879702,4390.282814,117.809591,-177.648916,-1626.972859,-46.963186,0.652816,0.403546,1.056362,-0.11372,-0.08697,-0.20069,0.69182,-1.069485,-0.377665,0.157595,0.128837,0.286432,0.223162311557789,0.181886934673367,0.22
"134","KOT011jf_throw14_rap14 - KOT_RH (6Hz)",0.66,-65.736729,106.28,-1.389875,-0.190195,1.866454,-0.46717,-77.716278,-47.140933,20.104078,60.376652,39.738864,55.683504,1.01,0.608081,-3.818205,-133.494928,-41.883843,-50.839621,-65.307987,1.220957,81.700291,-31.595705,76.783375,-0.573675,-0.320986,2.763016,-0.364581,1,-40.160479,-54.620288,-68.088383,82.007925,-29.919165,75.290624,1.14,1.99,-35.771816,193.506102,0.972489,-38.702981,1.764864,-14.137458,104.266556,81.786644,-32.028613,-0.287825,-0.378529,1.737467,-0.266735,-0.069878,0.100906,202.803171,467.229936,657.291093,327.409606,21.960134,3802.76584,169.415429,-179.354926,-33007.94757,-253.306147,0.8162,0.28585,1.10205,-0.130791,-0.057543,-0.188334,0.896562,-1.025549,-0.128987,0.102589,0.097846,0.200435,0.109521105527638,0.240922110552764,0.23
"135","KOT011jf_throw15_rap15 - KOT_RH (6Hz)",0.7,-68.845193,157.095915,-1.265518,-0.201265,1.995505,-0.60814,-74.387876,-43.835241,14.1003,40.893365,49.1432,40.377156,1.01,0.592597,-6.369502,-158.572007,-34.988812,-50.166714,-64.948001,-5.015149,87.940786,-31.54847,98.392562,-0.507936,-0.327318,2.792693,-0.46332,0.96,-29.199831,-66.429195,-65.66827,80.802307,-24.601031,94.624204,1.15,1.99,-33.604322,82.133157,-3.551826,-46.093874,-2.599973,-28.368289,106.101629,74.264366,35.534387,-0.207574,-0.384525,1.718883,-0.347919,0.290986,-0.029059,323.901716,416.33898,667.639899,320.46521,14.951139,5899.677102,103.474474,-176.160036,-1994.001139,-263.52076,0.757582,0.300362,1.057944,-0.126053,-0.057207,-0.18326,0.797188,-1.07381,-0.276622,0.14482,0.115401,0.260221,0.250532663316583,0.178626130653266,0.22
"136","KOT011jf_throw16_rap16 - KOT_RH (6Hz)",0.69,-68.453403,141.37433,-1.374129,-0.182794,2.013607,-0.494454,-73.724553,-46.463735,21.343423,52.354255,34.632348,51.972983,1.01,0.623756,-2.849,7.217274,-34.969212,-60.108894,-75.161165,3.235496,81.055887,-25.727186,81.214635,-0.600739,-0.277447,2.822543,-0.206072,0.99,-31.776421,-66.059138,-72.822607,83.325493,-23.116217,73.727151,1.16,1.99,-26.313838,243.340285,-4.285575,-45.001299,-8.465038,-26.339449,98.672502,75.715799,69.149753,-0.265616,-0.318614,1.664458,-0.221182,0.113928,-0.007627,318.92382,450.22695,654.709853,370.872188,22.726863,3756.988433,110.654769,-177.843094,-4700.30447,-268.717573,0.77339,0.335123,1.108513,-0.094653,-0.041167,-0.13582,0.808936,-1.158085,-0.349149,0.288382,-0.01511,0.273272,0.190725628140704,0.156274874371859,0.21
"137","KOT011jf_throw17_rap17 - KOT_RH (6Hz)",0.96,-66.921298,220.844077,-1.275645,-0.172845,2.409227,-0.379632,-56.355799,-49.236674,15.250055,34.023663,69.841577,122.668928,1.28,0.60326,9.147887,238.82468,-38.214571,-73.244893,-70.429328,12.144281,73.125913,-12.110146,80.225784,-0.559485,-0.306311,2.785095,-0.239923,1.29,-39.87424,-70.242754,-72.277685,73.429102,-12.93815,86.557026,1.47,1.99,-29.860461,285.681547,-2.539732,-44.864953,-6.211958,-29.251757,100.687399,68.07388,72.519005,-0.122441,-0.369159,1.694772,-0.298038,0.284015,0.001828,355.311315,471.351935,638.050824,355.536923,21.508806,5268.726526,124.25608,-174.47018,-2323.259066,-266.647313,0.71616,0.437044,1.153204,-0.133466,-0.062848,-0.196314,0.375868,-1.090323,-0.714455,0.139709,-0.058115,0.081594,0.204249246231156,0.186425628140704,0.23
"138","KOT011jf_throw18_rap18 - KOT_RH (6Hz)",0.95,-64.561127,120.162324,NA,NA,NA,NA,-67.906204,NA,NA,NA,NA,NA,1.32,0.601975,-4.084011,-58.442778,-33.364483,-49.233898,-63.284915,-7.331216,80.991226,-30.338671,105.063203,-0.52319,-0.311487,2.629391,-0.419464,1.26,-32.960321,-70.437307,-72.140534,71.62537,-18.2818,101.047819,1.43,1.99,-27.824778,82.064873,-12.800174,-42.208324,-11.24406,-29.812308,100.770877,73.45323,105.122586,-0.287268,-0.357963,1.908471,-0.356867,-0.12256,-0.087513,266.817523,398.500236,630.766491,336.517682,20.02689,4870.395998,109.743751,-177.984776,-4781.588904,-266.933882,NA,0.235922,NA,NA,-0.046476,NA,NA,-0.72092,NA,NA,0.062597,NA,0.0827678391959799,0.135904522613065,0.23
"139","KOT011jf_throw19_rap19 - KOT_RH (6Hz)",0.93,-65.690012,124.18304,-1.317935,-0.241597,1.936624,-0.516691,-69.551967,-40.105657,27.259745,40.996667,64.994789,75.348997,1.21,0.569178,5.028872,65.845137,-42.459297,-66.23201,-63.262385,13.754763,82.877084,-17.848413,78.021417,-0.661601,-0.354984,2.768998,-0.351155,1.22,-44.200098,-62.842113,-65.69128,82.578746,-19.064885,84.031595,1.38,1.99,-33.131702,222.786921,0.369744,-41.464222,-8.328301,-22.04451,102.144285,74.457276,91.848133,-0.276993,-0.431332,1.807727,-0.390998,-0.101687,-0.147563,268.747053,468.71119,669.368876,337.774464,27.934539,3660.890192,111.636326,-174.917128,-2128.91426,-22.930632,0.656334,0.384608,1.040942,-0.113387,-0.076348,-0.189735,0.832374,-0.961271,-0.128897,0.165536,-0.039843,0.125693,0.0880934673366834,0.142597487437186,0.24
"140","KOT011jf_throw2_rap2 - KOT_RH (6Hz)",0.96,-73.058877,125.494606,-1.134364,-0.148688,1.925717,-0.545155,-83.96355,-51.193487,14.993706,37.537121,41.203136,84.715238,1.25,0.627003,-0.094845,176.873397,-43.885588,-67.647906,-68.884929,7.848304,70.847772,-11.659186,89.115563,-0.461384,-0.270537,2.889098,-0.364475,1.24,-42.132691,-70.076516,-66.967711,71.464157,-10.488869,82.601936,1.43,1.99,-35.609371,296.110586,0.251999,-46.639721,-7.397271,-35.871638,98.088543,63.245037,87.010682,-0.012032,-0.345911,1.943287,-0.261777,0.238461,-0.058184,310.078643,496.347069,656.560907,376.163651,16.125451,4021.204404,123.374903,-177.671533,-1925.042496,-259.913111,0.67298,0.449352,1.122332,-0.121849,-0.075374,-0.197223,0.963381,-0.945811,0.0175700000000001,0.18068,0.102698,0.283378,0.125875879396985,0.144586432160804,0.22
"141","KOT011jf_throw20_rap20 - KOT_RH (6Hz)",0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01,0.582977,-2.663632,69.793262,-41.403912,-59.741146,-71.10539,7.884499,76.211265,-20.288242,100.083717,-0.629476,-0.340297,2.627468,-0.391826,1.01,-41.403912,-59.741146,-71.10539,76.211265,-20.288242,100.083717,1.19,1.99,-24.494163,234.15654,4.973001,-51.447493,-14.204382,-22.547817,108.200004,75.123908,79.75004,-0.264783,-0.421202,1.559244,-0.232429,0.217099,-0.236513,284.892246,451.69941,622.474277,391.770435,19.977861,4196.390693,117.563462,-177.279537,-1174.342014,-14.946205,NA,0.364693,NA,NA,-0.080905,NA,NA,-1.068224,NA,NA,0.159397,NA,0.24215175879397,0.0928085427135679,0.21
"142","KOT011jf_throw3_rap3 - KOT_RH (6Hz)",0.95,-75.506525,178.170451,-1.160422,-0.175359,1.8925,-0.593078,-85.374467,-55.350289,12.699551,39.548635,40.75626,82.583423,1.22,0.599632,14.304809,163.121359,-38.447962,-67.239157,-70.281895,7.221582,73.131657,-19.647029,89.86826,-0.54665,-0.282286,2.731667,-0.133923,1.21,-37.313029,-69.667761,-68.41762,72.313468,-18.638521,84.711175,1.4,1.99,-31.998377,293.39432,-0.864963,-48.545175,-8.36517,-33.647665,106.330962,66.789373,76.952805,-0.140352,-0.329571,1.656762,-0.21982,0.101179,0.008679,298.484019,477.563799,639.34588,315.961297,14.698637,3529.854383,110.836876,-178.740606,-4910.449454,-32.777141,0.613772,0.406298,1.02007,-0.106927,-0.047285,-0.154212,0.839167,-1.074905,-0.235738,0.459155,-0.085897,0.373258,0.121372361809045,0.169974874371859,0.22
"143","KOT011jf_throw4_rap4 - KOT_RH (6Hz)",0.95,-73.598486,131.120522,-1.070941,-0.270043,2.073664,-0.789147,-80.79225,-47.915503,13.745609,38.798006,43.965329,37.318391,1.17,0.611855,13.671221,253.567819,-44.347694,-72.60287,-67.999733,8.676226,72.57758,-9.019505,68.228574,-0.541876,-0.386589,2.84231,-0.375438,1.17,-44.347694,-72.60287,-67.999733,72.57758,-9.019505,68.228574,1.38,1.99,-41.217857,291.957361,0.203626,-54.713945,-2.695939,-30.986664,105.77326,73.215664,81.798271,-0.024173,-0.473168,1.964138,-0.559367,0.452694,-0.202554,291.957361,481.642315,677.942861,341.71889,14.588595,3678.749549,112.151493,-173.102221,-7634.98043,-268.057387,0.529065,0.517703,1.046768,-0.116546,-0.086579,-0.203125,0.768646,-0.878172,-0.109526,0.413709,-0.183929,0.22978,0.239631658291457,0.135986934673367,0.21
"144","KOT011jf_throw5_rap5 - KOT_RH (6Hz)",0.93,-72.627793,146.168298,-1.051665,-0.211511,2.262498,-0.532768,-83.005534,-47.052128,10.510637,32.082322,45.590165,36.463748,1.26,0.635838,-5.668082,-96.390826,-36.973568,-48.832043,-60.29068,-10.619038,76.779234,-19.703348,95.135987,-0.187238,-0.335388,2.953582,-0.387234,1.19,-31.567758,-69.975424,-62.179762,71.01079,-15.673129,72.362403,1.38,1.99,-36.964221,208.963124,-1.33015,-42.312996,0.125028,-34.577506,95.276539,47.738357,75.238884,0.108526,-0.380729,2.005922,-0.193211,0.337641,0.015082,295.396253,471.087546,641.59176,367.413353,12.838684,3770.986092,104.357639,-170.299441,-4451.13337,-267.916207,0.864427,0.295764,1.160191,-0.123877,-0.045341,-0.169218,0.691084,-0.94766,-0.256576,0.145534,0.194023,0.339557,0.115133165829146,0.1989,0.23
"145","KOT011jf_throw6_rap6 - KOT_RH (6Hz)",0.95,-75.885622,179.738425,-1.142087,-0.164863,2.215836,-1.145989,-85.047977,-43.539402,8.323219,40.142483,40.241432,65.122658,1.19,0.628597,10.573502,231.091346,-39.981509,-72.058766,-60.776627,4.879565,67.190689,-14.880274,66.064063,-0.553595,-0.304519,2.909669,-0.283523,1.2,-41.39738,-69.521783,-62.292373,66.141212,-16.195612,74.306388,1.39,1.99,-32.476863,343.123996,1.595638,-51.043205,-0.554505,-33.362746,102.220652,62.865976,72.379249,-0.06268,-0.370367,1.813648,-0.131363,0.425812,0.048523,347.966735,494.153745,618.688867,388.204518,10.758351,3406.552453,103.639361,-174.991078,-2082.975522,-31.302839,0.588492,0.490915,1.079407,-0.139656,-0.065848,-0.205504,0.693833,-1.096021,-0.402188,0.862466,0.15216,1.014626,0.245473366834171,0.210497487437186,0.22
"146","KOT011jf_throw7_rap7 - KOT_RH (6Hz)",0.96,-77.094597,163.219588,NA,NA,NA,NA,-75.237426,NA,NA,NA,NA,NA,1.28,0.645111,2.085844,242.413483,-37.779016,-69.5507,-71.77806,9.650023,76.498164,-12.97889,80.47055,-0.49044,-0.291357,2.831029,-0.330335,1.29,-39.768731,-66.60194,-73.522198,75.913444,-13.975604,85.383724,1.46,1.99,-35.133715,250.259358,-9.20228,-47.006792,-7.864718,-24.942344,108.470658,63.777448,78.016007,-0.06636,-0.366311,1.838659,-0.257077,0.35443,-0.104062,292.985741,423.55818,641.398266,298.731169,18.270451,3786.768857,105.537338,-177.117255,-2228.162443,-251.0783,NA,0.42408,NA,NA,-0.074954,NA,NA,-0.99237,NA,NA,0.073258,NA,0.211452261306533,0.131783417085427,0.22
"147","KOT011jf_throw8_rap8 - KOT_RH (6Hz)",1.18,-76.72831,194.019218,-1.182128,-0.249382,2.072221,-0.4969,-78.116639,-50.430593,14.625316,43.943511,23.707538,29.530243,1.4,0.609106,6.58531,151.116103,-36.517521,-63.959247,-66.121955,3.554431,80.324301,-13.502771,90.420875,-0.637794,-0.335806,2.88493,-0.310021,1.38,-33.403355,-69.761119,-62.580155,80.514577,-12.057498,80.221051,1.56,1.99,-32.344912,271.701422,-7.079396,-41.94876,-5.56352,-25.908217,101.712948,71.783387,30.382384,-0.253387,-0.385192,1.823024,-0.216951,0.070579,0.065034,335.036888,432.982108,669.031228,264.567737,15.322226,3443.702859,103.949009,-172.30796,-1429.261586,-38.007629,0.544334,0.384407,0.928741,-0.086424,-0.049386,-0.13581,0.812709,-1.061906,-0.249197,0.186879,0.09307,0.279949,0.162796984924623,0.226244221105528,0.22
"148","KOT011jf_throw9_rap9 - KOT_RH (6Hz)",0.99,-76.632388,115.437615,-1.170587,-0.191817,2.139706,-0.503885,-76.732084,-44.543994,15.278643,58.053851,27.063385,-22.26652,1.25,0.61291,-2.759176,207.529169,-38.340819,-67.144129,-68.851942,9.023648,73.837293,-21.497675,88.496415,-0.550622,-0.316199,2.828865,-0.480311,1.26,-39.730787,-64.143862,-71.178994,73.287996,-23.219555,90.433909,1.42,1.99,-33.792848,235.390205,-4.058539,-40.077029,-6.24415,-25.959979,98.498349,58.34327,72.021546,-0.143335,-0.397893,1.915951,-0.263558,0.115693,-0.052469,354.75508,443.127565,644.633887,292.618942,17.394269,3902.060925,113.596355,-173.646971,-3437.558428,-257.189112,0.619965,0.407287,1.027252,-0.124382,-0.081694,-0.206076,0.689159,-0.912914,-0.223755,0.023574,0.216753,0.240327,0.130164824120603,0.173579899497487,0.23
"149","KOT012wl_throw1_rap1 - KOT_RH (6Hz)",0.95,-61.657961,175.871667,-1.151819,-0.388766,1.922952,-0.153218,-76.634881,-62.423035,8.508353,8.306596,46.260468,68.389792,1.3,0.592053,12.745482,150.928571,-51.987868,-72.325642,-77.577848,3.638063,65.822232,-5.848808,90.278542,-0.421796,-0.410868,2.466359,0.027336,1.28,-48.040929,-78.453364,-73.795031,66.688183,1.585705,87.107691,1.44,1.74,-43.142028,373.327293,-9.994406,-28.742387,-2.652521,-24.969051,94.288082,34.710933,82.499851,-0.118226,-0.42114,1.622643,-0.114841,0.184312,-0.111162,455.332848,514.931948,779.754987,199.328041,12.685769,4172.883823,107.933653,-163.245136,-1481.514887,-32.979743,0.730023,0.30357,1.033593,-0.022102,-0.010272,-0.032374,0.543407,-0.843716,-0.300309,0.180554,-0.142177,0.038377,0.173872413793103,0.178148275862069,0.21
"150","KOT012wl_throw10_rap10 - KOT_RH (6Hz)",0.96,-65.118744,131.529289,-1.007798,-0.327402,2.175442,-0.327309,-78.412599,-64.847408,7.870991,19.107854,48.535188,58.402739,1.28,0.626584,8.175703,233.892263,-54.848886,-61.096256,-80.141195,4.684348,69.530992,-5.556138,89.570557,-0.287796,-0.375431,2.639974,-0.048844,1.26,-50.482633,-66.839119,-77.523408,70.560736,3.532797,85.299864,1.41,1.74,-52.630502,273.546278,-4.782905,-19.835471,-0.308949,-24.86811,90.014902,22.125114,71.839985,0.022653,-0.390371,1.927466,-0.064748,0.1913,-0.044153,383.348576,490.111392,816.662886,276.63855,14.002437,5017.049274,103.150928,-165.598823,-1106.316365,-32.331864,0.720002,0.310449,1.030451,-0.048029,-0.01494,-0.062969,0.464532,-0.712508,-0.247976,0.278465,-0.015904,0.262561,0.0969235632183908,0.198975862068966,0.23
"151","KOT012wl_throw11_rap11 - KOT_RH (6Hz)",0.94,-69.345765,138.960411,-1.05263,-0.321238,2.281369,-0.282553,-67.605168,-57.187506,17.329225,26.328862,50.584299,52.590912,1.26,0.622257,11.063701,75.631818,-55.440959,-61.732998,-73.184574,3.919897,80.552421,-18.158788,91.372758,-0.281273,-0.353972,2.770281,-0.117412,1.21,-43.477719,-79.334104,-68.679433,74.733437,4.893084,76.89331,1.37,1.74,-53.512829,229.910241,-18.37156,-27.859344,-5.662422,-13.973372,98.405421,49.241631,85.551673,-0.014618,-0.371387,2.042168,-0.147918,0.126447,-0.065607,397.136807,422.957786,776.99488,206.357047,19.460491,4122.724999,102.444941,-165.569406,-1358.047563,-49.886369,0.771357,0.266655,1.038012,-0.032734,-0.017415,-0.050149,0.488912,-0.728113,-0.239201,0.165141,-0.030506,0.134635,0.0810718390804598,0.175735632183908,0.23
"152","KOT012wl_throw12_rap12 - KOT_RH (6Hz)",0.91,-66.43159,100.45767,-1.129999,-0.308031,2.128772,-0.242643,-77.30406,-59.496701,7.968273,12.649123,50.532916,52.910303,1.23,0.642894,7.078551,276.905295,-52.815055,-55.642298,-80.359825,1.902997,67.827155,-2.872345,93.220491,-0.387485,-0.342201,2.718588,-0.034591,1.2,-44.122765,-64.46912,-76.516671,69.213421,8.946634,88.416337,1.36,1.74,-51.626218,305.137196,-1.296168,-23.735635,-2.518462,-29.74354,90.848685,28.1856,100.751067,-0.076637,-0.351236,1.916842,-0.092418,0.076902,-0.045826,437.725615,475.6141,798.959703,304.675171,12.754283,5045.963672,114.227389,-170.031493,-2332.788004,-34.945176,0.742514,0.310848,1.053362,-0.03417,-0.00903500000000002,-0.043205,0.589816,-0.801746,-0.21193,0.208052,-0.057827,0.150225,0.0882408045977011,0.175522988505747,0.23
"153","KOT012wl_throw13_rap13 - KOT_RH (6Hz)",0.72,-74.562543,130.730502,-1.10347,-0.320868,2.164015,-0.259036,-69.11963,-59.983922,14.645975,25.75014,50.761618,52.792585,1.02,0.640579,6.223245,116.851203,-49.632155,-64.615877,-74.032717,6.965183,75.080473,-10.069286,89.957552,-0.364614,-0.369781,2.820154,-0.148708,0.99,-42.314789,-75.606244,-73.173508,73.147466,3.790413,84.578888,1.15,1.74,-48.314285,247.352803,-12.965515,-28.685499,-1.656915,-15.100821,98.70524,45.588715,75.201842,-0.042912,-0.400851,1.998026,-0.185535,0.267122,-0.093062,338.99822,440.945077,766.705346,252.400408,18.416731,4879.183388,114.393051,-166.922957,-1063.008615,-40.959723,0.738856,0.321702,1.060558,-0.048913,-0.03107,-0.079983,0.656139,-0.822128,-0.165989,0.110328,-0.036827,0.073501,0.178180459770115,0.176890229885057,0.22
"154","KOT012wl_throw14_rap14 - KOT_RH (6Hz)",0.96,-71.231977,101.920151,-1.066712,-0.326913,2.238487,-0.262567,-67.295072,-62.139459,21.657966,32.281969,47.486169,42.984854,1.27,0.657845,10.9427,228.442294,-47.417225,-66.792565,-76.721428,11.306537,73.536114,-3.400203,93.755415,-0.347879,-0.365752,2.713599,-0.107242,1.24,-37.770389,-77.843388,-74.279627,76.500529,10.666377,88.681087,1.4,1.74,-53.507924,225.897699,-15.523224,-25.34969,-2.954853,-11.704009,97.747452,39.131499,80.806133,-0.03536,-0.383263,1.922468,-0.05293,0.160719,-0.087958,399.105397,435.546712,783.580943,222.363137,23.091616,4880.531905,119.526159,-167.786154,-1499.776066,-68.978378,0.718833,0.312519,1.031352,-0.038839,-0.017511,-0.05635,0.475112,-0.791131,-0.316019,0.155325,0.054312,0.209637,0.11268908045977,0.169715517241379,0.24
"155","KOT012wl_throw15_rap15 - KOT_RH (6Hz)",0.96,-73.149271,155.03725,-1.027313,-0.370143,2.255067,-0.17908,-74.705666,-56.694546,16.585406,22.152803,53.960019,29.212016,1.24,0.643663,13.685924,168.779275,-49.262821,-62.057071,-76.471364,6.088176,71.531596,-15.598907,93.484606,-0.349307,-0.383954,2.809633,-0.014573,1.21,-42.69527,-72.322803,-74.165505,72.628279,-0.605686,84.433736,1.35,1.74,-53.550802,201.966795,-16.216728,-20.707824,-7.175735,-14.092903,94.733643,30.197125,99.462867,-0.070001,-0.396065,2.136722,-0.206247,-0.025638,-0.143745,404.472667,434.965381,797.763496,247.149643,18.553798,4683.858876,106.589779,-164.952213,-1555.298341,-16.046763,0.678006,0.279306,0.957312,-0.013811,-0.012111,-0.025922,0.554566,-0.672911,-0.118345,0.164507,-0.191674,-0.027167,0.0254959770114942,0.145011494252874,0.24
"156","KOT012wl_throw16_rap16 - KOT_RH (6Hz)",0.71,-70.832837,145.921651,-1.124791,-0.365086,2.306546,-0.182958,-73.779327,-57.405885,9.716294,19.107456,46.587129,53.551943,1.01,0.645191,9.431067,167.900569,-50.767984,-68.467012,-78.004377,0.501602,65.197165,-10.162393,95.961578,-0.404498,-0.38847,2.790032,-0.062419,0.98,-41.949844,-76.102184,-73.341177,66.342212,1.675587,93.832332,1.13,1.74,-54.732555,305.764413,-17.976513,-26.243141,-9.425357,-28.538375,88.153809,31.030559,93.41387,-0.102607,-0.397063,2.018931,-0.002961,0.088242,-0.128379,505.250582,469.96883,756.26174,288.21519,10.641519,4638.329741,105.341722,-164.43233,-2792.382302,-30.094884,0.720293,0.301891,1.022184,-0.023384,-0.00859300000000002,-0.031977,0.483486,-0.771101,-0.287615,0.120539,0.059458,0.179997,0.109683333333333,0.154416091954023,0.23
